Navn; calories; proteins; carbs; fat; type;
typer: frugt og grønt=fg, fjerkræ, kød, fisk, snack, drikke, krydderi, nød, bær, korn, brød og mejeri=bm

Salat, Radicchio rosso, rå;24;1.4;3.6;0.3;fg
Æg, høne, tørret;564;50.7;4.2;38.3;fjerkræ
Hummer, rå;93;19.6;0.8;1.3;fisk
Jomfruhummer, rå;93;19.6;0.8;1.3;fisk
Knækbrød, hvede-, grahamstype;371;14.3;59.8;6.2;bm
Karry, pulver;342;12.7;25.2;13.8;krydderi
Rødfisk, lille, filet, rå;90;19.1;0;1.5;fisk
Kartoffel, chips, fedtreducerede;488;5;44.9;23;snack
Tungepølse, pålæg;148;9.8;4.8;10;kød
Sej, filet, dybfrost;91;20.5;0;0.9;fisk
Fløde 18 %;190;2.6;3.9;18;bm
Voksbønner, konserves;26;1.4;3.7;0.3;fg
Hvedebrød, groft, fiberbrød;216;10.7;36.4;1.9;bm
Skinke, kogt, konserves;111;15.7;0;5.4;kød
Surbrød;249;7.6;46.4;2.8;bm
Æg, høne, langæg, kogt, dybfrost;129;12;2.2;8;fjerkræ
Brombær, syltede;197;0.3;48.1;0.2;bær
Mangomarmelade;216;0.2;53.1;0.1;snack
Creme fraiche 18 %;192;2.8;2.8;18.6;bm
Grahamsbrød;249;8.9;45.5;2.6;bm
Lever, gåse, rå;129;16.4;6.3;4.3;fjerkræ
Salt kød, pålæg;100;19.2;0;2.6;kød
